,x,y,Velocity,Classification results
0,0.499937,0.206779,2.6e-05,1.0
1,0.500083,0.205722,9.7e-05,1.0
2,0.50042,0.204932,7.8e-05,1.0
3,0.500815,0.204278,6.9e-05,1.0
4,0.500995,0.204352,1.8e-05,1.0
5,0.501252,0.204545,2.9e-05,1.0
6,0.501279,0.204387,1.5e-05,1.0
7,0.501199,0.20439,7e-06,1.0
8,0.50122,0.203985,3.7e-05,1.0
9,0.501145,0.203986,7e-06,1.0
10,0.501009,0.204596,5.7e-05,1.0
11,0.500573,0.205323,7.7e-05,1.0
12,0.500426,0.206335,9.3e-05,1.0
13,0.50072,0.20668,4.1e-05,1.0
14,0.50087,0.206864,2.2e-05,1.0
15,0.50084,0.2065,3.3e-05,1.0
16,0.500893,0.206635,1.3e-05,1.0
17,0.501074,0.206913,3e-05,1.0
18,0.501465,0.207208,4.5e-05,1.0
19,0.501539,0.207285,1e-05,1.0
20,0.501716,0.207339,1.7e-05,1.0
21,0.501849,0.207627,2.9e-05,1.0
22,0.501899,0.207918,2.7e-05,1.0
23,0.501863,0.208157,2.2e-05,1.0
24,0.501934,0.208157,6e-06,1.0
25,0.502128,0.207824,3.5e-05,1.0
26,0.502368,0.207247,5.7e-05,1.0
27,0.502395,0.206548,6.4e-05,1.0
28,0.502444,0.206004,5e-05,1.0
29,0.502364,0.20548,4.8e-05,1.0
30,0.502155,0.205134,3.7e-05,1.0
31,0.502022,0.204881,2.6e-05,1.0
32,0.501861,0.204923,1.5e-05,1.0
33,0.501818,0.205017,9e-06,1.0
34,0.501491,0.204865,3.3e-05,1.0
35,0.501367,0.204878,1.1e-05,1.0
36,0.50123,0.20533,4.3e-05,1.0
37,0.500846,0.205664,4.6e-05,1.0
38,0.50043,0.205982,4.8e-05,1.0
39,0.50019,0.205749,3e-05,1.0
40,0.500256,0.205957,2e-05,1.0
41,0.500337,0.206097,1.5e-05,1.0
42,0.500506,0.206524,4.2e-05,1.0
43,0.500541,0.207249,6.6e-05,1.0
44,0.500532,0.207749,4.5e-05,1.0
45,0.500404,0.208065,3.1e-05,1.0
46,0.500154,0.207978,2.4e-05,1.0
47,0.500031,0.20808,1.5e-05,1.0
48,0.49994,0.207634,4.1e-05,1.0
49,0.500068,0.206926,6.5e-05,1.0
50,0.500085,0.206419,4.6e-05,1.0
51,0.500012,0.206348,9e-06,1.0
52,0.499868,0.206013,3.3e-05,1.0
53,0.499745,0.205648,3.5e-05,1.0
54,0.499696,0.205107,4.9e-05,1.0
55,0.500115,0.204453,7.1e-05,1.0
56,0.500501,0.203596,8.5e-05,1.0
57,0.500779,0.202931,6.6e-05,1.0
58,0.50099,0.202385,5.3e-05,1.0
59,0.501159,0.202058,3.3e-05,1.0
60,0.50127,0.20134,6.6e-05,1.0
61,0.501074,0.200415,8.6e-05,1.0
62,0.501004,0.199323,9.9e-05,1.0
63,0.501153,0.198801,4.9e-05,1.0
64,0.501418,0.198734,2.5e-05,1.0
65,0.501471,0.198266,4.3e-05,1.0
66,0.501483,0.197076,0.000108,1.0
67,0.501731,0.196152,8.7e-05,1.0
68,0.501944,0.195577,5.6e-05,1.0
69,0.501955,0.195322,2.3e-05,1.0
70,0.501837,0.194826,4.6e-05,1.0
71,0.501798,0.194482,3.2e-05,1.0
72,0.502314,0.193817,7.6e-05,1.0
73,0.503263,0.192565,0.000143,1.0
74,0.50463,0.190944,0.000193,1.0
75,0.506044,0.189388,0.000191,1.0
76,0.507468,0.188309,0.000162,1.0
77,0.508707,0.187651,0.000128,1.0
78,0.509694,0.18696,0.00011,1.0
79,0.510593,0.1861,0.000113,1.0
80,0.511006,0.18526,8.5e-05,1.0
81,0.511098,0.18522,9e-06,1.0
82,0.511017,0.185331,1.2e-05,1.0
83,0.511062,0.185392,7e-06,1.0
84,0.511073,0.185165,2.1e-05,1.0
85,0.510969,0.184979,1.9e-05,1.0
86,0.510947,0.184794,1.7e-05,1.0
87,0.510759,0.185567,7.2e-05,1.0
88,0.510343,0.186232,7.1e-05,1.0
89,0.509965,0.186689,5.4e-05,1.0
90,0.509676,0.186535,3e-05,1.0
91,0.509694,0.186449,8e-06,1.0
92,0.509895,0.186804,3.7e-05,1.0
93,0.510309,0.187126,4.8e-05,1.0
94,0.510603,0.187625,5.3e-05,1.0
95,0.51066,0.18769,8e-06,1.0
96,0.510537,0.187701,1.1e-05,1.0
97,0.510633,0.187863,1.7e-05,1.0
98,0.510779,0.188099,2.5e-05,1.0
99,0.511301,0.188006,4.8e-05,1.0
100,0.511793,0.1876,5.8e-05,1.0
101,0.512128,0.187351,3.8e-05,1.0
102,0.512135,0.187613,2.4e-05,1.0
103,0.512106,0.187886,2.5e-05,1.0
104,0.512166,0.188353,4.3e-05,1.0
105,0.512186,0.188698,3.1e-05,1.0
106,0.512221,0.189096,3.6e-05,1.0
107,0.512356,0.189382,2.9e-05,1.0
108,0.512381,0.190319,8.5e-05,1.0
109,0.512303,0.190994,6.2e-05,1.0
110,0.512113,0.191527,5.1e-05,1.0
111,0.512015,0.191658,1.5e-05,1.0
112,0.511935,0.191947,2.7e-05,1.0
113,0.511857,0.19209,1.5e-05,1.0
114,0.511873,0.191867,2e-05,1.0
115,0.512082,0.191372,4.9e-05,1.0
116,0.512289,0.190728,6.1e-05,1.0
117,0.512529,0.190382,3.8e-05,1.0
118,0.512099,0.191055,7.3e-05,1.0
119,0.51066,0.19314,0.00023,1.0
120,0.501405,0.202411,0.001191,1.0
121,0.458055,0.244045,0.005464,1.0
122,0.408444,0.292165,0.006283,1.0
123,0.362728,0.338258,0.005902,1.0
124,0.330587,0.375653,0.004483,1.0
125,0.308225,0.400497,0.003039,1.0
126,0.293072,0.415084,0.001912,1.0
127,0.283882,0.424024,0.001166,1.0
128,0.277243,0.431222,0.00089,1.0
129,0.27402,0.43712,0.000611,1.0
130,0.271769,0.440901,0.0004,2.0
131,0.270588,0.444126,0.000312,2.0
132,0.269519,0.444153,9.7e-05,2.0
133,0.268874,0.443484,8.5e-05,2.0
134,0.268106,0.442518,0.000112,2.0
135,0.267303,0.442613,7.4e-05,2.0
136,0.266523,0.443882,0.000135,2.0
137,0.266179,0.443891,3.1e-05,2.0
138,0.265854,0.445524,0.000151,2.0
139,0.26584,0.444959,5.1e-05,2.0
140,0.265266,0.444952,5.2e-05,2.0
141,0.262817,0.446833,0.000281,2.0
142,0.258324,0.45235,0.000647,2.0
143,0.254612,0.45766,0.000589,2.0
144,0.251995,0.462435,0.000495,2.0
145,0.250351,0.466881,0.000431,2.0
