,x,y,Velocity,Manually results,Classification results
0,0.568376,0.239836,0.000212,0.0,0.0
1,0.568136,0.240328,5e-05,0.0,0.0
2,0.568094,0.241045,6.5e-05,0.0,0.0
3,0.568063,0.241578,4.9e-05,0.0,0.0
4,0.568326,0.24295,0.000127,0.0,0.0
5,0.565839,0.243711,0.000236,0.0,0.0
6,0.563991,0.244292,0.000176,0.0,0.0
7,0.551152,0.242782,0.001175,1.0,1.0
8,0.541729,0.241275,0.000867,1.0,1.0
9,0.534869,0.240177,0.000632,1.0,1.0
10,0.529264,0.239588,0.000512,1.0,1.0
11,0.524914,0.238528,0.000407,1.0,1.0
12,0.521113,0.237561,0.000357,1.0,1.0
13,0.517403,0.236124,0.000362,1.0,1.0
14,0.513803,0.235379,0.000334,1.0,1.0
15,0.510328,0.23466,0.000323,1.0,1.0
16,0.508119,0.234274,0.000204,0.0,0.0
17,0.505937,0.233344,0.000216,0.0,0.0
18,0.503959,0.232502,0.000195,0.0,0.0
19,0.501923,0.232484,0.000185,0.0,0.0
20,0.500205,0.232951,0.000162,0.0,0.0
21,0.498686,0.233357,0.000143,0.0,0.0
22,0.497358,0.233026,0.000124,0.0,0.0
23,0.496439,0.233196,8.5e-05,0.0,0.0
24,0.495631,0.233318,7.4e-05,0.0,0.0
25,0.495109,0.234242,9.6e-05,0.0,0.0
26,0.494408,0.234391,6.5e-05,0.0,0.0
27,0.49379,0.234515,5.7e-05,0.0,0.0
28,0.492807,0.234088,9.7e-05,0.0,0.0
29,0.492259,0.234441,5.9e-05,0.0,0.0
30,0.491767,0.234734,5.2e-05,0.0,0.0
31,0.491634,0.235003,2.7e-05,0.0,0.0
32,0.491394,0.234387,6e-05,0.0,0.0
33,0.491179,0.233845,5.3e-05,0.0,0.0
34,0.490812,0.233041,8e-05,0.0,0.0
35,0.49047,0.233165,3.3e-05,0.0,0.0
36,0.490165,0.23328,3e-05,0.0,0.0
37,0.489902,0.233594,3.7e-05,0.0,0.0
38,0.489861,0.233614,4e-06,0.0,0.0
39,0.489832,0.233672,6e-06,0.0,0.0
40,0.48999,0.234737,9.8e-05,0.0,0.0
41,0.489719,0.23546,7e-05,0.0,0.0
42,0.489478,0.236087,6.1e-05,0.0,0.0
43,0.48902,0.235919,4.4e-05,0.0,0.0
44,0.488792,0.235667,3.1e-05,0.0,0.0
45,0.488589,0.235441,2.8e-05,0.0,0.0
46,0.488477,0.235878,4.1e-05,0.0,0.0
47,0.488699,0.23599,2.3e-05,0.0,0.0
48,0.488897,0.236091,2e-05,0.0,0.0
49,0.489075,0.236564,4.6e-05,0.0,0.0
50,0.488956,0.23749,8.5e-05,0.0,0.0
51,0.488846,0.238332,7.7e-05,0.0,0.0
52,0.489027,0.238533,2.5e-05,0.0,0.0
53,0.489331,0.239202,6.7e-05,0.0,0.0
54,0.490764,0.240945,0.000205,0.0,0.0
55,0.49186,0.243357,0.000241,0.0,0.0
56,0.492654,0.245436,0.000202,0.0,0.0
57,0.491901,0.24599,8.5e-05,0.0,0.0
58,0.491755,0.246343,3.5e-05,0.0,0.0
59,0.491822,0.246485,1.4e-05,0.0,0.0
60,0.491902,0.246709,2.2e-05,0.0,0.0
61,0.492173,0.246657,2.5e-05,0.0,0.0
62,0.492358,0.246623,1.7e-05,0.0,0.0
63,0.492526,0.246592,1.6e-05,0.0,0.0
64,0.492097,0.2458,8.2e-05,0.0,0.0
65,0.491625,0.245916,4.4e-05,0.0,0.0
66,0.491193,0.246036,4.1e-05,0.0,0.0
67,0.491453,0.247927,0.000174,0.0,0.0
68,0.492011,0.249414,0.000144,0.0,0.0
69,0.49254,0.250826,0.000137,0.0,0.0
70,0.492033,0.250407,6e-05,0.0,0.0
71,0.491512,0.2501,5.5e-05,0.0,0.0
72,0.49105,0.249828,4.9e-05,0.0,0.0
73,0.490767,0.247911,0.000176,0.0,0.0
74,0.490573,0.246476,0.000132,0.0,0.0
75,0.490415,0.245115,0.000125,0.0,0.0
76,0.490331,0.245509,3.7e-05,0.0,0.0
77,0.490586,0.247127,0.000149,0.0,0.0
78,0.490873,0.248774,0.000152,0.0,0.0
79,0.491603,0.24999,0.000129,0.0,0.0
80,0.491821,0.250528,5.3e-05,0.0,0.0
81,0.492041,0.251021,4.9e-05,0.0,0.0
82,0.492371,0.251268,3.7e-05,0.0,0.0
83,0.492469,0.249885,0.000126,0.0,0.0
84,0.492587,0.248596,0.000118,0.0,0.0
85,0.491978,0.248312,6.1e-05,0.0,0.0
86,0.491696,0.248271,2.6e-05,0.0,0.0
87,0.491449,0.248234,2.3e-05,0.0,0.0
88,0.491444,0.24776,4.3e-05,0.0,0.0
89,0.491027,0.24633,0.000135,0.0,0.0
90,0.490623,0.244918,0.000134,0.0,0.0
91,0.490349,0.244733,3e-05,0.0,0.0
92,0.490514,0.245271,5.1e-05,0.0,0.0
93,0.490627,0.245601,3.2e-05,0.0,0.0
94,0.490713,0.246349,6.9e-05,0.0,0.0
95,0.49063,0.24705,6.4e-05,0.0,0.0
96,0.490562,0.247744,6.3e-05,0.0,0.0
97,0.490863,0.246659,0.000102,0.0,0.0
98,0.491019,0.246008,6.1e-05,0.0,0.0
99,0.491166,0.245401,5.7e-05,0.0,0.0
100,0.490672,0.246313,9.4e-05,0.0,0.0
101,0.490029,0.247506,0.000123,0.0,0.0
102,0.489422,0.248661,0.000119,0.0,0.0
103,0.463016,0.268272,0.00299,2.0,2.0
104,0.427671,0.295211,0.00404,2.0,2.0
105,0.394553,0.320458,0.003786,2.0,2.0
106,0.368301,0.340572,0.003007,2.0,2.0
107,0.348095,0.350488,0.002046,2.0,2.0
108,0.333142,0.357846,0.001515,2.0,2.0
109,0.322877,0.360108,0.000956,2.0,1.0
110,0.32106,0.360056,0.000165,0.0,0.0
111,0.319684,0.360089,0.000125,0.0,0.0
112,0.320424,0.36141,0.000138,0.0,0.0
113,0.316217,0.368776,0.000771,1.0,1.0
114,0.312936,0.374458,0.000596,1.0,1.0
115,0.309096,0.382153,0.000782,1.0,1.0
116,0.305083,0.388562,0.000687,1.0,1.0
117,0.302044,0.393412,0.00052,1.0,1.0
118,0.293373,0.408315,0.001567,1.0,1.0
119,0.285733,0.423856,0.001574,1.0,1.0
120,0.279895,0.435742,0.001204,1.0,1.0
121,0.273135,0.446297,0.001139,1.0,1.0
122,0.26792,0.452554,0.00074,1.0,1.0
123,0.264051,0.457197,0.000549,1.0,1.0
124,0.260425,0.464157,0.000713,1.0,1.0
125,0.257674,0.469605,0.000555,1.0,1.0
126,0.255616,0.473676,0.000415,1.0,1.0
127,0.256784,0.475585,0.000203,1.0,1.0
128,0.255637,0.485662,0.000922,1.0,1.0
129,0.254704,0.49347,0.000715,1.0,1.0
130,0.252759,0.497867,0.000437,1.0,1.0
131,0.252754,0.493894,0.000361,1.0,1.0
132,0.25273,0.490906,0.000272,1.0,1.0
133,0.253341,0.491005,5.6e-05,0.0,0.0
134,0.253608,0.492919,0.000176,0.0,0.0
135,0.253788,0.494474,0.000142,0.0,0.0
136,0.253386,0.494677,4.1e-05,0.0,0.0
137,0.252955,0.492947,0.000162,0.0,0.0
138,0.252614,0.491569,0.000129,0.0,0.0
139,0.251475,0.490911,0.00012,0.0,0.0
140,0.250587,0.489954,0.000119,0.0,0.0
141,0.249854,0.489166,9.8e-05,0.0,0.0
142,0.250407,0.48985,8e-05,0.0,0.0
143,0.250814,0.492505,0.000244,0.0,0.0
144,0.251146,0.494852,0.000215,0.0,0.0
145,0.250493,0.498314,0.00032,0.0,0.0
146,0.25063,0.500971,0.000242,0.0,0.0
147,0.250763,0.503282,0.00021,0.0,0.0
148,0.25043,0.504069,7.8e-05,0.0,0.0
149,0.249498,0.503434,0.000102,0.0,0.0
150,0.248721,0.5029,8.6e-05,0.0,0.0
151,0.24764,0.502717,0.0001,0.0,0.0
152,0.247061,0.502467,5.7e-05,0.0,0.0
153,0.246567,0.502257,4.9e-05,0.0,0.0
154,0.246269,0.502937,6.8e-05,0.0,0.0
155,0.246764,0.504923,0.000186,0.0,0.0
156,0.247196,0.506653,0.000162,0.0,0.0
157,0.247807,0.506536,5.7e-05,0.0,0.0
158,0.247411,0.505035,0.000141,0.0,0.0
159,0.247104,0.503899,0.000107,0.0,0.0
160,0.246383,0.502439,0.000148,0.0,0.0
161,0.246029,0.500924,0.000141,0.0,0.0
162,0.245721,0.4996,0.000124,0.0,0.0
163,0.24588,0.498252,0.000123,0.0,0.0
