,x,y,Velocity,manually results,Classification results
0,0.445986,0.432676,2.8e-05,0.0,0.0
1,0.445952,0.432294,3.5e-05,0.0,0.0
2,0.445732,0.431752,5.3e-05,0.0,0.0
3,0.445468,0.431056,6.8e-05,0.0,0.0
4,0.445225,0.430369,6.6e-05,0.0,0.0
5,0.445023,0.430143,2.8e-05,0.0,0.0
6,0.444895,0.430283,1.7e-05,0.0,0.0
7,0.444825,0.430666,3.5e-05,0.0,0.0
8,0.444947,0.430962,2.9e-05,0.0,0.0
9,0.444964,0.430912,5e-06,0.0,0.0
10,0.444864,0.43081,1.3e-05,0.0,0.0
11,0.444668,0.430762,1.8e-05,0.0,0.0
12,0.444552,0.43106,2.9e-05,0.0,0.0
13,0.444475,0.431262,2e-05,0.0,0.0
14,0.444407,0.431438,1.7e-05,0.0,0.0
15,0.444216,0.431454,1.7e-05,0.0,0.0
16,0.443978,0.431609,2.6e-05,0.0,0.0
17,0.444071,0.431794,1.9e-05,0.0,0.0
18,0.44509,0.431424,9.9e-05,0.0,1.0
19,0.447333,0.430093,0.000237,1.0,1.0
20,0.450673,0.427288,0.000397,1.0,1.0
21,0.454842,0.423624,0.000505,1.0,1.0
22,0.459167,0.419485,0.000544,1.0,1.0
23,0.463148,0.415116,0.000537,1.0,1.0
24,0.466236,0.411519,0.000431,1.0,1.0
25,0.468782,0.408527,0.000357,1.0,1.0
26,0.471013,0.406384,0.000281,1.0,1.0
27,0.473039,0.404468,0.000254,1.0,1.0
28,0.475518,0.399925,0.00047,1.0,1.0
29,0.477951,0.387592,0.001143,2.0,2.0
30,0.481378,0.362427,0.002309,2.0,2.0
31,0.486014,0.327866,0.00317,2.0,2.0
32,0.490883,0.297027,0.002838,2.0,2.0
33,0.494522,0.277333,0.001821,2.0,2.0
34,0.497282,0.26152,0.001459,2.0,2.0
35,0.499624,0.253739,0.000739,2.0,2.0
36,0.500522,0.251759,0.000198,1.0,1.0
37,0.500711,0.251646,2e-05,1.0,1.0
38,0.500217,0.25337,0.000163,1.0,1.0
39,0.499745,0.25454,0.000115,1.0,1.0
40,0.499353,0.255354,8.2e-05,1.0,1.0
41,0.499189,0.255395,1.5e-05,1.0,1.0
42,0.498998,0.257041,0.000151,1.0,1.0
