,0,1,2
0,0.271769,0.440901,0.0004
1,0.270588,0.444126,0.000312
2,0.269519,0.444153,9.7e-05
3,0.268874,0.443484,8.5e-05
4,0.268106,0.442518,0.000112
5,0.267303,0.442613,7.4e-05
6,0.266523,0.443882,0.000135
7,0.266179,0.443891,3.1e-05
8,0.265854,0.445524,0.000151
9,0.26584,0.444959,5.1e-05
10,0.265266,0.444952,5.2e-05
11,0.262817,0.446833,0.000281
12,0.258324,0.45235,0.000647
13,0.254612,0.45766,0.000589
14,0.251995,0.462435,0.000495
15,0.250351,0.466881,0.000431
16,0.249036,0.471592,0.000445
17,0.247961,0.475236,0.000345
18,0.246265,0.478096,0.000302
19,0.244604,0.479465,0.000196
20,0.243623,0.480535,0.000132
21,0.242852,0.480981,8.1e-05
22,0.242339,0.480801,4.9e-05
23,0.243788,0.48032,0.000139
24,0.24717,0.479993,0.000309
25,0.250191,0.479729,0.000276
26,0.252497,0.47887,0.000224
27,0.254473,0.47893,0.00018
28,0.256108,0.479081,0.000149
29,0.257575,0.479387,0.000136
30,0.258792,0.478764,0.000124
31,0.259887,0.478205,0.000112
32,0.260616,0.477912,7.1e-05
33,0.261372,0.478344,7.9e-05
34,0.262083,0.478593,6.8e-05
35,0.262776,0.478251,7e-05
36,0.262939,0.477509,6.9e-05
37,0.263027,0.476799,6.5e-05
38,0.263051,0.476547,2.3e-05
39,0.263453,0.476116,5.4e-05
40,0.263771,0.475949,3.3e-05
41,0.264118,0.475791,3.5e-05
42,0.264287,0.475864,1.7e-05
43,0.264518,0.476048,2.7e-05
44,0.264672,0.475904,1.9e-05
45,0.264946,0.475952,2.5e-05
46,0.265104,0.475747,2.4e-05
47,0.265244,0.476285,5e-05
48,0.26514,0.476548,2.6e-05
49,0.265083,0.476751,1.9e-05
50,0.264785,0.476849,2.9e-05
51,0.264815,0.476683,1.5e-05
52,0.264913,0.476751,1.1e-05
53,0.265578,0.476548,6.3e-05
54,0.265931,0.477433,8.7e-05
55,0.266478,0.478233,8.8e-05
56,0.266608,0.479673,0.000131
57,0.266571,0.480602,8.4e-05
58,0.266351,0.481251,6.2e-05
59,0.265906,0.481095,4.3e-05
60,0.265564,0.480944,3.4e-05
61,0.265382,0.480866,1.8e-05
62,0.265209,0.479687,0.000119
63,0.2653,0.478573,0.000102
64,0.265555,0.477666,8.6e-05
65,0.265808,0.477285,4.2e-05
66,0.265859,0.476792,4.5e-05
67,0.265467,0.47614,6.9e-05
68,0.265243,0.476542,4.2e-05
69,0.265076,0.477326,7.3e-05
70,0.265416,0.478404,0.000103
71,0.265537,0.478825,4e-05
72,0.265639,0.479273,4.2e-05
73,0.265486,0.479622,3.5e-05
74,0.265407,0.479242,3.5e-05
75,0.26552,0.479052,2e-05
76,0.265843,0.479009,3e-05
77,0.268795,0.481613,0.000358
78,0.294007,0.500034,0.002839
79,0.327472,0.52524,0.003809
80,0.370145,0.562853,0.005171
81,0.405757,0.603104,0.004886
82,0.432777,0.635296,0.003821
83,0.45224,0.655985,0.002582
84,0.466271,0.671545,0.001905
85,0.475859,0.682059,0.001294
86,0.482715,0.691983,0.001096
